donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits,consensus_primary_donor,consensus_primary_support
olmoe,gpt_oss,2024-09-04,2025-08-05,335,0,26,bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|has_shared_expert|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|rglru_recurrence|rope_parameterization|router_activation|shared_expert_configurable|state_update_rule|windowed_rope_scope,phimoe,
phi,gpt_oss,2023-06-15,2025-08-05,782,0,31,altup|attention_family|attention_output_gating|attention_projection|chunked_kv_cache|conv_on_kv|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|output_head_connection|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|zero_expert_option,phimoe,
minicpm,seed_oss,2024-02-01,2025-08-20,566,0,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,qwen2,
afm7,lille-130m,2025-05-27,2025-08-31,96,0,19,attention_family|attention_pattern|attention_projection|chunked_kv_cache|ffn_activation_core|gated_delta_net|has_aux_silu_gate|has_moe|kv_layout|lm_head_bias|periodic_no_rope_layers|positional_encoding|q_lora_present|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope,nemotron-nas,
mamba,lille-130m,2023-12-01,2025-08-31,639,0,29,altup|attention_output_gating|bitlinear_weights|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail,nemotron-nas,
glm4_moe_lite,longcat_flash,2025-07-28,2025-09-01,35,0,33,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_default|window_schedule_detail,deepseek_v3,
gpt_oss,longcat_flash,2025-08-05,2025-09-01,27,0,26,block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|grouped_expert_selection|has_moe|has_shared_expert|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|optional_nope|residual_scheme|residual_update_rule|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,deepseek_v3,
glm4_moe,apertus,2025-07-28,2025-09-02,36,1,24,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_layout|laurel|modality|norm_scheme|output_head_connection|q_lora_present|qk_norm|qk_norm_detail|rope_parameterization|secondary_token_mixer|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope,glm4_moe,0.4000
smollm3,apertus,2025-07-08,2025-09-02,56,0,25,bitlinear_weights|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|ngram_memory|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap,glm4_moe,
dots1,Klear,2025-06-06,2025-09-04,90,1,33,attention_family|attention_pattern|block_norm_variant|cross_layer_kv_sharing|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|lm_head_bias|moe_distribution|moe_subtype|ngram_memory|norm_scheme|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|router_activation|router_activation_configurable|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,dots1,0.3000
nemotron_h,Klear,2025-03-20,2025-09-04,168,0,28,altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|gated_delta_net|kv_lora_present|kv_reuse_attention|laurel|modality|moe_schedule_type|optional_nope|output_head_connection|q_lora_present|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|shared_expert_configurable|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope|zero_expert_option,dots1,
bailing_moe_linear,qwen3_next,2025-04-24,2025-09-09,138,1,49,altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,bailing_moe_linear,0.9000
nemotron_h,qwen3_next,2025-03-20,2025-09-09,173,0,6,global_plus_linear_attention_mix|has_aux_silu_gate|moe_schedule_type|norm_scheme|router_activation_configurable|shared_expert_configurable,bailing_moe_linear,
qwen2_moe,qwen3_next,2024-06-07,2025-09-09,459,0,5,attention_projection|expert_bias_correction|moe_subtype|router_activation|shared_branch_merge_mode,bailing_moe_linear,
deepseek_v3,deepseek_v32,2024-12-26,2025-09-29,277,1,59,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek_v3,0.8500
lfm2,lfm2_moe,2025-07-10,2025-10-07,89,1,54,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,lfm2,0.7000
phixtral,lfm2_moe,2024-01-08,2025-10-07,638,0,4,has_moe|moe_distribution|moe_subtype|router_activation,lfm2,
baichuan_m1,nanochat,2025-01-23,2025-10-13,263,0,29,attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|laurel|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope,plamo,
phixtral,nanochat,2024-01-08,2025-10-13,644,0,20,altup|attention_family|attention_pattern|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|kv_layout|kv_reuse_attention|lm_head_bias|optional_nope|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail,plamo,
longcat_flash,kimi_linear,2025-09-01,2025-10-30,59,0,26,altup|attention_projection|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|expert_bias_correction|ffn_activation_core|ffn_core|has_shared_expert|kv_layout|kv_lora_present|laurel|lm_head_bias|moe_schedule_type|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_scale,qwen3_next,
qwen3_next,kimi_linear,2025-09-09,2025-10-30,51,1,30,attention_output_gating|attention_pattern|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_reuse_attention|modality|moe_distribution|moe_subtype|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|rope_parameterization|router_activation_configurable|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,qwen3_next,0.5000
exaone4,olmo3,2025-07-15,2025-11-20,128,1,28,altup|attention_projection|dual_attention_modules|ffn_activation_core|gated_delta_net|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,exaone4,0.4500
gpt_oss,olmo3,2025-08-05,2025-11-20,107,0,22,attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|norm_scheme|optional_nope|q_lora_present|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|tie_embeddings_default|window_schedule_detail|windowed_rope_scope,exaone4,
bailing_moe_linear,afmoe,2025-04-24,2025-12-01,221,0,30,attention_output_gating|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_projection_style|has_aux_silu_gate|has_shared_expert|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|qk_norm_detail|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation|same_block_attention_ssm|shared_branch_merge_mode|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap,dots1,
gpt_oss,afmoe,2025-08-05,2025-12-01,118,0,28,altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|moe_distribution|moe_schedule_type|positional_encoding|q_lora_present|rglru_recurrence|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|zero_expert_option,dots1,
llama,ministral3,2023-02-27,2025-12-02,1009,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,llama,1.0000
glm4_moe,mimo_v2_flash,2025-07-28,2025-12-16,141,1,37,altup|attention_family|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|residual_scheme|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|shared_branch_merge_mode|stack_topology|uses_logit_softcap|windowed_rope_scope,glm4_moe,0.6000
gpt_oss,mimo_v2_flash,2025-08-05,2025-12-16,133,0,24,attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|ffn_core|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|laurel|periodic_no_rope_layers|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|zero_expert_option,glm4_moe,
helium,telechat3,2025-01-13,2025-12-24,345,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,helium,0.3500
llama,iquestloopcoder,2023-02-27,2025-12-30,1037,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,llama,0.8000
deepseek_v2,youtu_llm,2024-05-06,2025-12-31,604,0,20,attention_family|attention_pattern|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|q_lora_present|residual_update_rule|rope_parameterization|rope_partition_detail|same_block_attention_ssm,minicpm3,
glm,youtu_llm,2021-03-18,2025-12-31,1749,0,30,altup|attention_output_gating|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|gated_delta_net|has_aux_relu2_gate|has_moe|kv_reuse_attention|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,minicpm3,
afmoe,exaone_moe,2025-12-01,2026-01-05,35,1,36,altup|attention_pattern|block_norm_variant|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope,afmoe,0.7500
ministral3,exaone_moe,2025-12-02,2026-01-05,34,0,27,attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|coefficient_mix_shared_routed|cross_layer_kv_sharing|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_lora_present|lm_head_bias|modality|optional_nope|output_head_connection|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail|zero_expert_option,afmoe,
longcat_flash,longcat_flash_ngram,2025-09-01,2026-01-29,150,1,29,altup|attention_family|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|moe_subtype|norm_scheme|output_head_connection|q_lora_present|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_default|window_schedule_detail|zero_expert_option,longcat_flash,0.9500
phixtral,longcat_flash_ngram,2024-01-08,2026-01-29,752,0,23,attention_output_gating|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|hybrid_block_schedule|laurel|moe_distribution|moe_schedule_type|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,longcat_flash,
deepseek_v2,step3p5,2024-05-06,2026-02-01,636,0,28,chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_shared_expert|hybrid_block_schedule|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|windowed_rope_scope,afmoe,
exaone_moe,step3p5,2026-01-05,2026-02-01,27,0,29,altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|has_aux_relu2_gate|has_moe|kv_lora_present|kv_reuse_attention|moe_distribution|moe_subtype|ngram_memory|q_lora_present|qk_norm|qk_norm_detail|rope_partition_detail|router_activation|router_activation_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option,afmoe,
gpt_oss,qwen3_5,2025-08-05,2026-02-14,193,0,22,altup|attention_projection|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_lora_present|moe_schedule_type|moe_subtype|periodic_no_rope_layers|residual_scheme|residual_update_rule|router_activation|same_block_attention_ssm|secondary_token_mixer|uses_logit_softcap|zero_expert_option,qwen3_next,
qwen3_next,qwen3_5,2025-09-09,2026-02-14,158,1,38,attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|ngram_memory|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|router_activation_configurable|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,qwen3_next,1.0000
