taxon,release_date,modality,stack_topology,state_update_rule,attention_family,attention_projection,projection_bias_scheme,q_lora_present,kv_lora_present,kv_layout,cross_layer_kv_sharing,attention_pattern,hybrid_block_schedule,window_schedule_detail,secondary_token_mixer,attention_output_gating,positional_encoding,windowed_rope_scope,rope_partition_detail,rope_parameterization,qk_norm,qk_norm_detail,norm_scheme,block_norm_variant,residual_scheme,residual_update_rule,ffn_core,ffn_projection_style,ffn_activation_core,has_aux_silu_gate,has_aux_relu2_gate,has_moe,moe_distribution,moe_schedule_type,moe_subtype,router_activation,router_activation_configurable,has_shared_expert,shared_branch_merge_mode,shared_expert_configurable,expert_bias_correction,zero_expert_option,tie_embeddings_default,tie_embeddings_configurable,output_head_connection,lm_head_bias,uses_logit_scale,uses_logit_softcap,bitlinear_weights,chunked_kv_cache,laurel,altup,conv_on_kv,periodic_no_rope_layers,rglru_recurrence,gated_delta_net,ngram_memory,same_block_attention_ssm,dual_attention_modules,kv_reuse_attention,coefficient_mix_shared_routed,global_plus_linear_attention_mix,grouped_expert_selection,optional_nope
kimi_linear,2025-10-30,text,hybrid_attention_linear,gated_delta,mla_plus_gated_delta,lora_factored_q_or_kv,none,0,1,latent_kv_mla,none,full_attention_and_linear_state,sparse_injected_layers,none,none,post_attention_gate,decoupled_rope_split,uniform_all_layers,manual_rope_score_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,all_layers,standard_topk,sigmoid_topk,0,0,none,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lfm2,2025-07-10,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,sparse_injected_layers,none,short_depthwise_conv,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lfm2_moe,2025-10-07,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,sparse_injected_layers,none,short_depthwise_conv,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,dense_prefix_then_periodic,standard_topk,softmax_topk,0,0,none,0,1,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lille-130m,2025-08-31,text,transformer,none,sdpa,fused_qkvkv,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,2023-02-27,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama4,2025-04-05,vision+text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,chunked_attention_cache,none,none,none,none,rope,uniform_all_layers,rope_free_dense_layers,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,periodic_with_exclusions,custom,topk_custom,0,1,additive,0,0,0,untied,0,untied_linear,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
llama4_text,2025-04-05,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,?,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longcat_flash,2025-09-01,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,decoupled_rope_split,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,1,1,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longcat_flash_ngram,2026-01-29,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,ngram_memory_hybrid,none,none,none,none,none,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,custom,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,0,1,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mamba,2023-12-01,text,ssm_only,selective_ssm,ssm,custom,none,0,0,state_cache,none,recurrent_ssm,none,none,none,none,none,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mamba2,2024-05-31,text,ssm_only,selective_ssm,ssm,state_space,none,0,0,state_cache,none,recurrent_ssm,none,none,none,none,none,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,state_space_gated,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,?,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mimo,2025-05-12,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mimo_v2_flash,2025-12-16,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,partial_rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minicpm,2024-02-01,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minicpm3,2024-09-05,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,su_scaled_rope,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minimax,2025-10-27,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,sigmoid_topk,0,0,none,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ministral3,2025-12-02,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mixtral,2023-12-11,text,transformer,none,sdpa,separate_q_k_v,none,0,0,gqa,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanochat,2025-10-13,text,transformer,none,sdpa,custom,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,ungated_two_proj,relu2_glu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemotron-nas,2024-09-23,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,gelu_approx,1,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemotron,2023-11-14,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,rope_scaling,none,none,layernorm,layernorm_1p,prenorm_sequential,plain_add,dense,ungated_two_proj,custom,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemotron_h,2025-03-20,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,separate_q_k_v,none,0,0,kv_head_parameterized,none,attention_and_ssm_masks,alternating_layer_types,none,none,none,none,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,ungated_two_proj,swiglu,1,1,1,all_layers,periodic_with_exclusions,switch_mlp,sigmoid_topk,0,1,additive,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmo,2024-02-01,text,transformer,none,custom,custom,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,affine_free_layernorm,custom,plain_add,custom,fused_split_hidden,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmo2,2024-11-26,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmo3,2025-11-20,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmoe,2024-09-04,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openelm,2024-04-24,text,transformer,none,sdpa,fused_qkvkv,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_two_proj_fused,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi,2023-12-12,text,transformer,none,sdpa,separate_q_k_v,full_linear,0,0,mha,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,parallel_residual,plain_add,custom,ungated_two_proj,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi3,2024-04-22,text,transformer,none,sdpa,fused_qkvkv,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,su_scaled_rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_two_proj_fused,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi3small,2024-05-07,text,transformer,none,sdpa,fused_qkv,full_linear,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,gated_two_proj_fused,gegelu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phimoe,2024-08-17,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,gqa,none,full_causal,none,none,none,none,su_scaled_rope,uniform_all_layers,none,rope_scaling,none,none,mixed_rms_layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phixtral,2024-01-08,text,transformer,none,sdpa,fused_qkv,none,0,0,mha,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,custom,plain_add,dense,ungated_two_proj,custom,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plamo,2023-09-28,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plamo2,2025-01-14,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,fused_qkvkv,none,0,0,gqa,none,attention_and_ssm_masks,periodic_global_insertion,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_two_proj_fused,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen,2023-08-03,text,transformer,none,sdpa,fused_qkv,attention_only,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen2,2024-06-07,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen2_moe,2024-06-07,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,1,sigmoid_gated_shared,0,0,0,untied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen3,2025-04-29,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen3_5,2026-02-14,vision+text,hybrid_attention_linear,gated_delta,sdpa_plus_gated_delta,separate_q_k_v,none,0,0,gqa,none,full_attention_and_linear_state,periodic_global_insertion,none,none,post_attention_gate,partial_rope,uniform_all_layers,mrope_sections,rope_parameters,rmsnorm_qk,rmsnorm_qk,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,all_layers,custom,topk_custom,0,1,sigmoid_gated_shared,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
qwen3_moe,2025-04-29,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,periodic_with_exclusions,standard_topk,softmax_topk,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen3_next,2025-09-09,text,hybrid_attention_linear,gated_delta,sdpa_plus_gated_delta,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_attention_and_linear_state,periodic_global_insertion,none,none,post_attention_gate,partial_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,periodic_with_exclusions,standard_topk,softmax_topk,0,1,sigmoid_gated_shared,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
recurrent_gemma,2024-04-09,text,hybrid_recurrent_attention,rg_lru,sdpa,separate_q_k_v,mixed_custom,0,0,kv_head_parameterized,none,alternating_local_attention_and_recurrence,alternating_layer_types,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,gemma_rmsnorm_1plus,custom,plain_add,dense,gated_three_proj_separate,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rwkv7,2024-09-23,text,recurrent_rwkv,wkv_recurrence,rwkv7_state_mixing,custom,none,0,0,mha,none,full_causal,none,none,none,none,none,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,relu2_glu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seed_oss,2025-08-20,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smollm3,2025-07-08,text,transformer,none,custom,custom,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,custom,standard_rmsnorm,custom,plain_add,custom,gated_three_proj_separate,custom,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stablelm,2023-10-02,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,parallel_residual,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starcoder2,2024-02-28,text,transformer,none,sdpa,separate_q_k_v,full_linear,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,ungated_two_proj,gelu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step3p5,2026-02-01,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,post_attention_gate,yarn_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,custom_rmsnorm,zero_centered_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,all_layers,explicit_layer_list,standard_topk,sigmoid_topk,0,1,additive,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telechat3,2025-12-24,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youtu_llm,2025-12-31,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,rope,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
