model,source_file,modality,stack_topology,mixer_signature,attention_family,attention_projection,kv_layout,attention_pattern,positional_encoding,qk_norm,mlp_type,mlp_activation,moe_routing,norm_scheme,residual_scheme,embedding_tying,logits_head,architecture_knobs,special_traits
Klear,Klear.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads;num_key_value_heads;decoder_sparse_step;num_experts;num_experts_per_tok;n_shared_experts,qk_norm;expert_bias_correction;coefficient_mix_shared_and_routed_experts
afm7,afm7.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkvkv,mha,full_causal,rope,rmsnorm_qk,dense,swiglu,none,rmsnorm,prenorm_sequential,tied,tied_embedding_head,,qk_norm;kv_reuse_attention;fused_lora_or_quantized_linear
afmoe,afmoe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,gqa,mixed_global_plus_sliding_window,rope,rmsnorm_qk,moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,sandwich_or_multi_norm,configurable_default_untied,tied_embedding_head,num_attention_heads=32;num_key_value_heads=4;head_dim=64;rope_scaling;sliding_window=2048;layer_types;num_experts=128;num_experts_per_tok=8;num_shared_experts=1;tie_word_embeddings=False,qk_norm;expert_bias_correction;alternating_local_and_global_attention;grouped_expert_selection
apertus,apertus.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,custom,custom_or_none,none,rmsnorm,custom,configurable,untied_linear,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings,qk_norm
baichuan_m1,baichuan_m1.py,text,transformer,transformer_sdpa_dense,sdpa,custom,kv_head_parameterized,periodic_global_plus_sliding_window,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,untied_linear,num_attention_heads;num_key_value_heads;sliding_window;sliding_window_layers;conv_window;tie_word_embeddings=False,swa_head_split;conv_on_kv;conv2_preconditioned_kv;layerwise_sliding_window_set
bailing_moe,bailing_moe.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,fused_qkv,kv_head_parameterized,full_causal,partial_rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;partial_rotary_factor=1.0;rotary_dim;rope_scaling;first_k_dense_replace;num_experts;num_experts_per_tok;num_shared_experts;moe_shared_expert_intermediate_size;use_qk_norm=False;tie_word_embeddings=False,expert_bias_correction;router_can_use_sigmoid_or_softmax;shared_expert_toggle
bailing_moe_linear,bailing_moe_linear.py,text,hybrid_attention_linear,hybrid_sdpa_plus_linear_attention,sdpa_plus_linear_attention,fused_qkv,kv_head_parameterized,full_attention_and_linear_state,partial_rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;partial_rotary_factor=1.0;rope_scaling;first_k_dense_replace;num_experts;num_experts_per_tok;num_shared_experts;moe_shared_expert_intermediate_size;use_qk_norm=False;tie_word_embeddings=False,expert_bias_correction;global_plus_linear_attention_mix;router_can_use_sigmoid_or_softmax;shared_expert_toggle
bitnet,bitnet.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,relu2_glu,none,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings=True;BitLinear,bitlinear_weights
cohere,cohere.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,mha,full_causal,rope,layernorm_qk,dense,swiglu,none,layernorm,parallel_residual,tied,tied_plus_logit_scale,num_attention_heads=64;num_key_value_heads=64;use_qk_norm=False,per_head_layernorm_qk;qk_norm
cohere2,cohere2.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,gqa,periodic_global_plus_sliding_window,rope,none,dense,swiglu,none,layernorm,parallel_residual,tied,tied_plus_logit_scale,num_attention_heads=32;num_key_value_heads=8;head_dim=128;sliding_window=4096;sliding_window_pattern=4,
dbrx,dbrx.py,text,transformer,transformer_sdpa_moe,sdpa,fused_qkv,mha,full_causal,rope,none,moe,swiglu,softmax_topk,layernorm,custom,untied_or_custom,untied_linear,,
deepseek,deepseek.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,mha,full_causal,rope,none,hybrid_dense_plus_moe,swiglu,softmax_topk+shared,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads=32;num_key_value_heads=32;rope_scaling;moe_layer_freq=1;first_k_dense_replace=0;n_routed_experts;num_experts_per_tok;n_shared_experts,
deepseek_v2,deepseek_v2.py,text,transformer,transformer_mla_mixed_moe,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,yarn_rope,none,hybrid_dense_plus_moe,swiglu,softmax_topk+shared,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads=32;num_key_value_heads=32;q_lora_rank=1536;kv_lora_rank=512;qk_nope_head_dim=128;qk_rope_head_dim=64;v_head_dim=128;rope_scaling;moe_layer_freq=1;first_k_dense_replace=0;n_routed_experts;num_experts_per_tok;n_shared_experts;YaRN,yarn_rotary;q_lora;kv_lora;rope_nope_split;mla_decoupled_rope;softmax_router_with_shared_experts
deepseek_v3,deepseek_v3.py,text,transformer,transformer_mla_mixed_moe,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,decoupled_rope_split,none,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads=32;num_key_value_heads=32;q_lora_rank=1536;kv_lora_rank=512;qk_nope_head_dim=128;qk_rope_head_dim=64;v_head_dim=128;rope_scaling;moe_layer_freq=1;first_k_dense_replace=0;n_routed_experts;num_experts_per_tok=1;n_shared_experts,expert_bias_correction;q_lora;kv_lora;rope_nope_split;mla_decoupled_rope;sigmoid_router_with_shared_experts
deepseek_v32,deepseek_v32.py,text,transformer,transformer_mla_mixed_moe,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,decoupled_rope_split,layernorm_qk,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,mixed_rms_layernorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads=32;num_key_value_heads=32;q_lora_rank=1536;kv_lora_rank=512;qk_nope_head_dim=128;qk_rope_head_dim=64;v_head_dim=128;rope_scaling;moe_layer_freq=1;first_k_dense_replace=0;n_routed_experts;num_experts_per_tok=1;n_shared_experts,expert_bias_correction;q_lora;kv_lora;rope_nope_split;dual_attention_modules;mla_decoupled_rope
dots1,dots1.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;first_k_dense_replace;n_routed_experts;num_experts_per_tok;n_shared_experts;tie_word_embeddings=False,qk_norm;expert_bias_correction
ernie4_5,ernie4_5.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;tie_word_embeddings,
ernie4_5_moe,ernie4_5_moe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,moe,swiglu,topk_custom+shared+bias_correction,rmsnorm,prenorm_sequential,configurable,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;tie_word_embeddings,expert_bias_correction
exaone,exaone.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,mixed_rms_layernorm,custom,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings=True,
exaone4,exaone4.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,periodic_global_plus_sliding_window,rope,rmsnorm_qk,dense,swiglu,none,rmsnorm,sandwich_or_multi_norm,configurable,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;sliding_window;sliding_window_pattern;tie_word_embeddings,qk_norm
exaone_moe,exaone_moe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,rope,rmsnorm_qk,moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;rope_parameters;sliding_window;layer_types;num_experts;num_experts_per_tok;num_shared_experts;tie_word_embeddings=False,qk_norm;expert_bias_correction
falcon_h1,falcon_h1.py,text,hybrid_attention_ssm,hybrid_attention_ssm_blocks,sdpa_plus_ssm,separate_q_k_v,gqa,attention_and_ssm_masks,rope,none,state_space_gated,swiglu+silu,none,mixed_rms_layernorm,prenorm_sequential,configurable_default_tied,untied_linear,num_attention_heads=8;num_key_value_heads=2;head_dim=64;rope_scaling;mamba_d_state=128;mamba_n_heads=24;tie_word_embeddings=True,attention_and_mamba_in_same_block
gemma,gemma.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,gelu,none,custom_rmsnorm,prenorm_sequential,tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim,
gemma2,gemma2.py,text,transformer,transformer_custom_dense,custom,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,gelu_approx,none,custom_rmsnorm,sandwich_or_multi_norm,tied,linear_or_tied_plus_softcap,num_attention_heads;num_key_value_heads;head_dim;final_logit_softcapping=30.0,final_logit_softcap
gemma3_text,gemma3_text.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,mqa,periodic_global_plus_sliding_window,dual_base_rope,rmsnorm_qk,dense,gelu_approx,none,custom_rmsnorm,sandwich_or_multi_norm,tied,tied_embedding_head,num_attention_heads=4;num_key_value_heads=1;head_dim=256;rope_scaling;rope_local_base_freq=10000.0;sliding_window=512;sliding_window_pattern=6,qk_norm
gemma3n,gemma3n.py,audio+vision+text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,dual_base_rope,qk_plus_v_norm,dense,gelu_approx,none,custom_rmsnorm,sandwich_or_multi_norm,tied,linear_or_tied_plus_softcap,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;rope_local_base_freq;sliding_window;layer_types;laurel_rank;altup_num_inputs;final_logit_softcapping,qk_norm;value_norm;final_logit_softcap;gelu_topk;laurel;altup;laurel_blocks;altup_correction;dual_base_rope;softcapped_logits
glm,glm.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,custom,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;tie_word_embeddings=True,
glm4,glm4.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,partial_rope,none,custom,swiglu,none,rmsnorm,sandwich_or_multi_norm,untied_or_custom,untied_linear,num_attention_heads;num_key_value_heads;head_dim;partial_rotary_factor,
glm4_moe,glm4_moe.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,partial_rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable,untied_linear,num_attention_heads;num_key_value_heads;head_dim;partial_rotary_factor;rope_scaling;first_k_dense_replace;n_routed_experts;num_experts_per_tok;n_shared_experts;use_qk_norm;tie_word_embeddings,qk_norm;expert_bias_correction
glm4_moe_lite,glm4_moe_lite.py,text,transformer,transformer_mla_mixed_moe,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,decoupled_rope_split,none,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,untied_linear,num_attention_heads=20;num_key_value_heads=20;q_lora_rank=768;kv_lora_rank=512;qk_nope_head_dim=192;qk_rope_head_dim=64;v_head_dim=256;partial_rotary_factor=1.0;rope_scaling;moe_layer_freq=1;first_k_dense_replace=1;n_routed_experts=64;num_experts_per_tok=4;n_shared_experts=1;tie_word_embeddings=False,expert_bias_correction;q_lora;kv_lora;rope_nope_split
gpt2,gpt2.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkv,kv_head_parameterized,full_causal,learned_absolute,none,dense,gelu_approx,none,layernorm,prenorm_sequential,tied,tied_embedding_head,num_key_value_heads,
gpt_bigcode,gpt_bigcode.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkv,mqa,full_causal,learned_absolute,none,dense,gelu,none,layernorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_key_value_heads;multi_query=True;tie_word_embeddings=True,
gpt_neox,gpt_neox.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkv,kv_head_parameterized,full_causal,partial_rope,none,dense,gelu_approx,none,layernorm,parallel_residual,untied_or_custom,custom,num_attention_heads;num_key_value_heads;rotary_pct,
gpt_oss,gpt_oss.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,gqa,mixed_global_plus_sliding_window,rope,none,moe,swiglu,topk_custom,rmsnorm,prenorm_sequential,untied_or_custom,linear_bias,num_attention_heads=64;num_key_value_heads=8;head_dim=64;rope_scaling;sliding_window=128;layer_types;num_local_experts=128;num_experts_per_tok=4,
granite,granite.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings=True,
granitemoe,granitemoe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,moe,swiglu,softmax_topk,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_scaling;num_local_experts;num_experts_per_tok;tie_word_embeddings=True,
granitemoehybrid,granitemoehybrid.py,text,hybrid_attention_ssm,hybrid_attention_ssm_blocks,sdpa_plus_ssm,separate_q_k_v,kv_head_parameterized,attention_and_ssm_masks,rope,none,hybrid_dense_plus_moe,swiglu+silu,softmax_topk,custom_rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;layer_types;num_local_experts;num_experts_per_tok;position_embedding_type=rope;mamba_d_state;mamba_n_heads;tie_word_embeddings=True,attention_or_mamba_layer_types;optional_nope
helium,helium.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,custom,swiglu,none,rmsnorm,prenorm_sequential,configurable,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;tie_word_embeddings,
hunyuan,hunyuan.py,text,transformer,transformer_sdpa_moe,sdpa,fused_qkvkv,kv_head_parameterized,full_causal,dynamic_ntk_rope,rmsnorm_qk,moe,swiglu,softmax_topk+shared,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_scaling;num_experts;use_qk_norm;tie_word_embeddings=False;DynamicNTKAlphaRoPE,dynamic_ntk_alpha_rope
hunyuan_v1_dense,hunyuan_v1_dense.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,dynamic_ntk_rope,rmsnorm_qk,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;use_qk_norm=True;tie_word_embeddings=False;DynamicNTKAlphaRoPE,dynamic_ntk_alpha_rope
internlm2,internlm2.py,text,transformer,transformer_sdpa_dense,sdpa,custom,kv_head_parameterized,full_causal,dynamic_ntk_rope,none,dense,swiglu,none,rmsnorm,custom,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings=False;DynamicNTKRoPE,dynamic_ntk_rope
internlm3,internlm3.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,dynamic_ntk_rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings=False;DynamicNTKRoPE,dynamic_ntk_rope
iquestloopcoder,iquestloopcoder.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,rope,none,dense,silu,none,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings=False,
