model,source_file,modality,stack_topology,mixer_signature,attention_family,attention_projection,kv_layout,attention_pattern,positional_encoding,qk_norm,mlp_type,mlp_activation,moe_routing,norm_scheme,residual_scheme,embedding_tying,logits_head,architecture_knobs,special_traits
jamba,jamba.py,text,hybrid_attention_ssm,hybrid_attention_ssm_blocks,sdpa_plus_ssm,separate_q_k_v,kv_head_parameterized,attention_and_ssm_masks,none,none,hybrid_dense_plus_moe,swiglu+silu,softmax_topk,rmsnorm,prenorm_sequential,configurable_default_tied,linear_bias,num_attention_heads;num_key_value_heads;layers_block_type;expert_layer_period;expert_layer_offset;num_experts;num_experts_per_tok;mamba_d_state;tie_word_embeddings=True,layerwise_attention_or_mamba;periodic_sparse_moe
kimi_linear,kimi_linear.py,text,hybrid_attention_linear,hybrid_mla_linear_attention,mla_plus_gated_delta,lora_factored_q_or_kv,latent_kv_mla,full_attention_and_linear_state,decoupled_rope_split,none,hybrid_dense_plus_moe,swiglu+silu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;kv_lora_rank;qk_nope_head_dim;qk_rope_head_dim;v_head_dim;rope_scaling;moe_layer_freq=1;first_k_dense_replace=0;num_experts;num_experts_per_token=1;num_shared_experts=0;tie_word_embeddings=False,expert_bias_correction;kv_lora;rope_nope_split;mla_plus_gated_delta;manual_rope_score_split
lfm2,lfm2.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,custom,tied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_parameters;layer_types,
lfm2_moe,lfm2_moe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,moe,swiglu,softmax_topk+bias_correction,rmsnorm,custom,tied,tied_embedding_head,num_attention_heads;num_key_value_heads;rope_parameters;layer_types;num_experts;num_experts_per_tok,expert_bias_correction
lille-130m,lille-130m.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkvkv,mha,full_causal,rope,none,custom,swiglu,none,mixed_rms_layernorm,prenorm_sequential,configurable_default_tied,custom,tie_word_embeddings=True,
llama,llama.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;sliding_window;layer_types;tie_word_embeddings=True,
llama4,llama4.py,vision+text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,kv_head_parameterized,chunked_attention_cache,rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,topk_custom+shared,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;interleave_moe_layer_step;num_local_experts;num_experts_per_tok;use_qk_norm;attn_temperature_tuning=4;ChunkedKVCache,chunked_kv_cache;rope_free_dense_layers;periodic_no_rope_layers
llama4_text,llama4_text.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,dense,swiglu+silu,none,rmsnorm,prenorm_sequential,configurable,custom,num_attention_heads;num_key_value_heads;head_dim;use_qk_norm;tie_word_embeddings,
longcat_flash,longcat_flash.py,text,transformer,transformer_mla_moe,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,decoupled_rope_split,none,moe,swiglu,topk_custom+bias_correction+zero_expert,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads;q_lora_rank;kv_lora_rank;qk_nope_head_dim;qk_rope_head_dim;v_head_dim;rope_scaling;n_routed_experts;zero_expert_num;zero_expert_type,expert_bias_correction;q_lora;kv_lora;rope_nope_split;mla_decoupled_rope;zero_expert_identity_option
longcat_flash_ngram,longcat_flash_ngram.py,text,transformer,transformer_mla_moe,mla,lora_factored_q_or_kv,latent_kv_mla,ngram_memory_hybrid,none,none,moe,custom_or_none,topk_custom+zero_expert,rmsnorm,custom,untied_or_custom,untied_linear,num_attention_heads;q_lora_rank;kv_lora_rank;qk_nope_head_dim;qk_rope_head_dim;v_head_dim;rope_scaling;n_routed_experts;zero_expert_num;zero_expert_type=identity,q_lora;kv_lora;rope_nope_split;ngram_memory_adapter
mamba,mamba.py,text,ssm_only,mamba_style_ssm,ssm,custom,state_cache,recurrent_ssm,none,none,custom,swiglu+silu,none,rmsnorm,prenorm_sequential,configurable_default_tied,linear_bias,tie_word_embeddings=True,
mamba2,mamba2.py,text,ssm_only,mamba_style_ssm,ssm,state_space,state_cache,recurrent_ssm,none,none,state_space_gated,swiglu+silu,none,mixed_rms_layernorm,prenorm_sequential,configurable,untied_linear,head_dim;tie_word_embeddings,
mimo,mimo.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,linear_bias,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings=False,
mimo_v2_flash,mimo_v2_flash.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,partial_rope,none,hybrid_dense_plus_moe,swiglu,sigmoid_topk+shared+bias_correction,rmsnorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads;num_key_value_heads;head_dim;v_head_dim;partial_rotary_factor;moe_layer_freq;n_routed_experts;num_experts_per_tok;n_shared_experts,expert_bias_correction
minicpm,minicpm.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,untied_linear,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings=False,
minicpm3,minicpm3.py,text,transformer,transformer_mla_dense,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,su_scaled_rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;q_lora_rank;kv_lora_rank;qk_nope_head_dim;qk_rope_head_dim;rope_scaling;tie_word_embeddings=False;SuScaledRoPE,su_scaled_rope;q_lora;kv_lora;rope_nope_split
minimax,minimax.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,partial_rope,rmsnorm_qk,moe,swiglu,sigmoid_topk+bias_correction,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rotary_dim;num_local_experts;num_experts_per_tok;use_qk_norm=True;tie_word_embeddings=False,qk_norm;expert_bias_correction
ministral3,ministral3.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_parameters;sliding_window;layer_types;tie_word_embeddings=True,
mixtral,mixtral.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,gqa,full_causal,rope,none,moe,swiglu,softmax_topk,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads=32;num_key_value_heads=8;rope_scaling;num_local_experts=8;num_experts_per_tok=2;tie_word_embeddings=False,
nanochat,nanochat.py,text,transformer,transformer_sdpa_dense,sdpa,custom,mha,full_causal,rope,none,dense,relu2_glu,none,rmsnorm,custom,untied_or_custom,untied_linear,num_attention_heads=10;num_key_value_heads=10,
nemotron-nas,nemotron-nas.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,mha,full_causal,rope,none,dense,gelu_approx+silu,none,mixed_rms_layernorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads=64;rope_scaling;tie_word_embeddings=False,
nemotron,nemotron.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,partial_rope,none,dense,custom_or_none,none,layernorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;partial_rotary_factor=0.5;rope_scaling;tie_word_embeddings=False,
nemotron_h,nemotron_h.py,text,hybrid_attention_ssm,hybrid_attention_ssm_blocks,sdpa_plus_ssm,separate_q_k_v,kv_head_parameterized,attention_and_ssm_masks,none,none,moe,swiglu+relu2_glu+silu,sigmoid_topk+shared+bias_correction,mixed_rms_layernorm,prenorm_sequential,untied_or_custom,untied_linear,num_attention_heads;num_key_value_heads;head_dim;n_routed_experts;num_experts_per_tok;n_shared_experts;moe_shared_expert_intermediate_size,expert_bias_correction;switch_mlp_moe
olmo,olmo.py,text,transformer,transformer_custom_dense,custom,custom,mha,full_causal,rope,none,custom,swiglu,none,layernorm,custom,untied_or_custom,custom,,
olmo2,olmo2.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,dense,swiglu,none,rmsnorm,sandwich_or_multi_norm,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings=True,qk_norm
olmo3,olmo3.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,mixed_global_plus_sliding_window,rope,rmsnorm_qk,custom,swiglu,none,rmsnorm,sandwich_or_multi_norm,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;sliding_window;layer_types;tie_word_embeddings=False,qk_norm
olmoe,olmoe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,moe,swiglu,topk_custom,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;num_experts;num_experts_per_tok;tie_word_embeddings=True,qk_norm
openelm,openelm.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkvkv,mha,full_causal,rope,rmsnorm_qk,dense,swiglu,none,rmsnorm,custom,tied,tied_embedding_head,head_dim;normalize_qk_projections=True,qk_norm
phi,phi.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,mha,full_causal,partial_rope,none,custom,gelu_approx,none,layernorm,parallel_residual,untied_or_custom,linear_bias,num_attention_heads=32;num_key_value_heads=32;partial_rotary_factor=0.4,
phi3,phi3.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkvkv,kv_head_parameterized,full_causal,su_scaled_rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;partial_rotary_factor=1.0;rope_scaling;tie_word_embeddings=False;SuScaledRoPE,su_scaled_rope
phi3small,phi3small.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkv,kv_head_parameterized,full_causal,rope,none,dense,gegelu,none,layernorm,prenorm_sequential,tied,tied_embedding_head,num_attention_heads;num_key_value_heads,
phimoe,phimoe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,gqa,full_causal,su_scaled_rope,none,moe,swiglu,softmax_topk,mixed_rms_layernorm,prenorm_sequential,untied_or_custom,linear_bias,num_attention_heads=32;num_key_value_heads=8;rope_scaling;num_local_experts=16;num_experts_per_tok=2;SuScaledRoPE,su_scaled_rope
phixtral,phixtral.py,text,transformer,transformer_sdpa_moe,sdpa,fused_qkv,mha,full_causal,partial_rope,none,moe,custom_or_none,softmax_topk,layernorm,custom,untied_or_custom,custom,rotary_dim=32;num_local_experts=4;num_experts_per_tok=2,
plamo,plamo.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,mha,full_causal,rope,none,dense,swiglu,none,rmsnorm,custom,untied_or_custom,custom,num_attention_heads,
plamo2,plamo2.py,text,hybrid_attention_ssm,hybrid_attention_ssm_blocks,sdpa_plus_ssm,fused_qkvkv,gqa,attention_and_ssm_masks,rope,none,dense,swiglu+silu,none,custom_rmsnorm,sandwich_or_multi_norm,configurable_default_tied,custom,num_attention_heads=32;num_key_value_heads=4;attention_window_size=2048;mamba_enabled=True;mamba_d_state=64;tie_word_embeddings=True,
qwen,qwen.py,text,transformer,transformer_sdpa_dense,sdpa,fused_qkv,mha,full_causal,rope,none,dense,swiglu,none,mixed_rms_layernorm,custom,untied_or_custom,linear_bias,num_attention_heads=16,
qwen2,qwen2.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,linear_bias,num_attention_heads;num_key_value_heads;rope_scaling;tie_word_embeddings=True,
qwen2_moe,qwen2_moe.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,moe,swiglu,softmax_topk+shared,rmsnorm,prenorm_sequential,configurable_default_untied,linear_bias,num_attention_heads;num_key_value_heads;rope_scaling;num_experts;num_experts_per_tok;shared_expert_intermediate_size;tie_word_embeddings=False,
qwen3,qwen3.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings,qk_norm
qwen3_5,qwen3_5.py,vision+text,hybrid_attention_linear,hybrid_sdpa_plus_gated_delta,sdpa_plus_gated_delta,separate_q_k_v,gqa,full_attention_and_linear_state,partial_rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu+silu,topk_custom+shared,mixed_rms_layernorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,"num_attention_heads=32;num_key_value_heads=8;head_dim;partial_rotary_factor=0.25;rope_scaling;rope_parameters=field(default_factory=lambda : {'type': 'default', 'mrope_section': [11, 11, 10], 'rope_theta': 100000, 'partial_rotary_factor': 0.25});decoder_sparse_step=1;num_experts=0;num_experts_per_tok=0;shared_expert_intermediate_size=0;tie_word_embeddings=False;GatedDeltaNet",gated_delta_net;qk_norm;mixed_full_attention_and_gated_delta;mrope_sections
qwen3_moe,qwen3_moe.py,text,transformer,transformer_sdpa_mixed_moe,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu,softmax_topk,rmsnorm,prenorm_sequential,configurable,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;decoder_sparse_step;num_experts;num_experts_per_tok;tie_word_embeddings,qk_norm
qwen3_next,qwen3_next.py,text,hybrid_attention_linear,hybrid_mla_linear_attention,sdpa_plus_gated_delta,separate_q_k_v,kv_head_parameterized,full_attention_and_linear_state,partial_rope,rmsnorm_qk,hybrid_dense_plus_moe,swiglu+silu,softmax_topk+shared,mixed_rms_layernorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;partial_rotary_factor;rope_scaling;decoder_sparse_step;num_experts;num_experts_per_tok;shared_expert_intermediate_size;tie_word_embeddings=False;GatedDeltaNet,gated_delta_net;qk_norm
recurrent_gemma,recurrent_gemma.py,text,hybrid_recurrent_attention,griffin_local_attention_plus_recurrence,sdpa,separate_q_k_v,kv_head_parameterized,alternating_local_attention_and_recurrence,rope,none,dense,gelu_approx,none,custom_rmsnorm,custom,untied_or_custom,linear_bias,num_attention_heads;num_key_value_heads;attention_window_size;block_types;RGLRU,rglru_recurrence;griffin_blocks;local_attention_plus_rglru
rwkv7,rwkv7.py,text,recurrent_rwkv,rwkv7_recurrent_state_mixing,rwkv7_state_mixing,custom,mha,full_causal,none,none,custom,relu2_glu,none,layernorm,prenorm_sequential,configurable_default_untied,untied_linear,head_dim;tie_word_embeddings=False,recurrent_time_mixing;custom_state_update
seed_oss,seed_oss.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,untied_linear,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings=True,
smollm3,smollm3.py,text,transformer,transformer_custom_dense,custom,custom,mha,full_causal,rope,none,custom,custom_or_none,none,custom,custom,tied,tied_embedding_head,,
stablelm,stablelm.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,partial_rope,none,dense,swiglu,none,layernorm,parallel_residual,untied_or_custom,untied_linear,num_attention_heads;num_key_value_heads;partial_rotary_factor,
starcoder2,starcoder2.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,dense,gelu,none,layernorm,prenorm_sequential,configurable_default_tied,linear_bias,num_attention_heads;num_key_value_heads;tie_word_embeddings=True,
step3p5,step3p5.py,text,transformer,transformer_sdpa_moe,sdpa,separate_q_k_v,mha,mixed_global_plus_sliding_window,yarn_rope,rmsnorm_qk,moe,swiglu+silu,sigmoid_topk,custom_rmsnorm,prenorm_sequential,configurable_default_untied,untied_linear,num_attention_heads;head_dim;rope_scaling;sliding_window=512;layer_types;tie_word_embeddings=False,qk_norm
telechat3,telechat3.py,text,transformer,transformer_sdpa_dense,sdpa,separate_q_k_v,kv_head_parameterized,full_causal,rope,none,custom,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_untied,tied_embedding_head,num_attention_heads;num_key_value_heads;head_dim;rope_scaling;tie_word_embeddings=False,
youtu_llm,youtu_llm.py,text,transformer,transformer_mla_dense,mla,lora_factored_q_or_kv,latent_kv_mla,full_causal,rope,none,custom,swiglu,none,rmsnorm,prenorm_sequential,configurable_default_tied,tied_embedding_head,num_attention_heads=16;num_key_value_heads=16;q_lora_rank=1536;kv_lora_rank=512;qk_nope_head_dim=128;qk_rope_head_dim=64;v_head_dim=128;rope_scaling;tie_word_embeddings=True,q_lora;kv_lora;rope_nope_split
