taxon,modality,stack_topology,state_update_rule,attention_family,attention_projection,projection_bias_scheme,q_lora_present,kv_lora_present,kv_layout,cross_layer_kv_sharing,attention_pattern,hybrid_block_schedule,window_schedule_detail,secondary_token_mixer,attention_output_gating,positional_encoding,windowed_rope_scope,rope_partition_detail,rope_parameterization,qk_norm,qk_norm_detail,norm_scheme,block_norm_variant,residual_scheme,residual_update_rule,ffn_core,ffn_projection_style,ffn_activation_core,has_aux_silu_gate,has_aux_relu2_gate,has_moe,moe_distribution,moe_schedule_type,moe_subtype,router_activation,router_activation_configurable,has_shared_expert,shared_branch_merge_mode,shared_expert_configurable,expert_bias_correction,zero_expert_option,tie_embeddings_default,tie_embeddings_configurable,output_head_connection,lm_head_bias,uses_logit_scale,uses_logit_softcap,bitlinear_weights,chunked_kv_cache,laurel,altup,conv_on_kv,periodic_no_rope_layers,rglru_recurrence,gated_delta_net,ngram_memory,same_block_attention_ssm,dual_attention_modules,kv_reuse_attention,coefficient_mix_shared_routed,global_plus_linear_attention_mix,grouped_expert_selection,optional_nope
kimi_linear,text,hybrid_attention_linear,gated_delta,mla_plus_gated_delta,lora_factored_q_or_kv,none,0,1,latent_kv_mla,none,full_attention_and_linear_state,sparse_injected_layers,none,none,post_attention_gate,decoupled_rope_split,uniform_all_layers,manual_rope_score_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,all_layers,standard_topk,sigmoid_topk,0,0,none,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lfm2,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,sparse_injected_layers,none,short_depthwise_conv,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lfm2_moe,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,sparse_injected_layers,none,short_depthwise_conv,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,dense_prefix_then_periodic,standard_topk,softmax_topk,0,0,none,0,1,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lille-130m,text,transformer,none,sdpa,fused_qkvkv,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama4,vision+text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,chunked_attention_cache,none,none,none,none,rope,uniform_all_layers,rope_free_dense_layers,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,periodic_with_exclusions,custom,topk_custom,0,1,additive,0,0,0,untied,0,untied_linear,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
llama4_text,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,?,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longcat_flash,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,decoupled_rope_split,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,1,1,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longcat_flash_ngram,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,ngram_memory_hybrid,none,none,none,none,none,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,custom,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,0,1,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mamba,text,ssm_only,selective_ssm,ssm,custom,none,0,0,state_cache,none,recurrent_ssm,none,none,none,none,none,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mamba2,text,ssm_only,selective_ssm,ssm,state_space,none,0,0,state_cache,none,recurrent_ssm,none,none,none,none,none,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,state_space_gated,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,?,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mimo,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mimo_v2_flash,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,partial_rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minicpm,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minicpm3,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,su_scaled_rope,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minimax,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,sigmoid_topk,0,0,none,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ministral3,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mixtral,text,transformer,none,sdpa,separate_q_k_v,none,0,0,gqa,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanochat,text,transformer,none,sdpa,custom,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,ungated_two_proj,relu2_glu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemotron-nas,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,gelu_approx,1,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemotron,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,rope_scaling,none,none,layernorm,layernorm_1p,prenorm_sequential,plain_add,dense,ungated_two_proj,custom,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemotron_h,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,separate_q_k_v,none,0,0,kv_head_parameterized,none,attention_and_ssm_masks,alternating_layer_types,none,none,none,none,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,ungated_two_proj,swiglu,1,1,1,all_layers,periodic_with_exclusions,switch_mlp,sigmoid_topk,0,1,additive,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmo,text,transformer,none,custom,custom,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,affine_free_layernorm,custom,plain_add,custom,fused_split_hidden,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmo2,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmo3,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmoe,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openelm,text,transformer,none,sdpa,fused_qkvkv,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_two_proj_fused,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi,text,transformer,none,sdpa,separate_q_k_v,full_linear,0,0,mha,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,parallel_residual,plain_add,custom,ungated_two_proj,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi3,text,transformer,none,sdpa,fused_qkvkv,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,su_scaled_rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_two_proj_fused,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi3small,text,transformer,none,sdpa,fused_qkv,full_linear,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,gated_two_proj_fused,gegelu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phimoe,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,gqa,none,full_causal,none,none,none,none,su_scaled_rope,uniform_all_layers,none,rope_scaling,none,none,mixed_rms_layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phixtral,text,transformer,none,sdpa,fused_qkv,none,0,0,mha,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,custom,plain_add,dense,ungated_two_proj,custom,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plamo,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plamo2,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,fused_qkvkv,none,0,0,gqa,none,attention_and_ssm_masks,periodic_global_insertion,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_two_proj_fused,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen,text,transformer,none,sdpa,fused_qkv,attention_only,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen2,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen2_moe,text,transformer,none,sdpa,separate_q_k_v,attention_only,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,1,sigmoid_gated_shared,0,0,0,untied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen3,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen3_5,vision+text,hybrid_attention_linear,gated_delta,sdpa_plus_gated_delta,separate_q_k_v,none,0,0,gqa,none,full_attention_and_linear_state,periodic_global_insertion,none,none,post_attention_gate,partial_rope,uniform_all_layers,mrope_sections,rope_parameters,rmsnorm_qk,rmsnorm_qk,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,all_layers,custom,topk_custom,0,1,sigmoid_gated_shared,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
qwen3_moe,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,periodic_with_exclusions,standard_topk,softmax_topk,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen3_next,text,hybrid_attention_linear,gated_delta,sdpa_plus_gated_delta,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_attention_and_linear_state,periodic_global_insertion,none,none,post_attention_gate,partial_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,periodic_with_exclusions,standard_topk,softmax_topk,0,1,sigmoid_gated_shared,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
recurrent_gemma,text,hybrid_recurrent_attention,rg_lru,sdpa,separate_q_k_v,mixed_custom,0,0,kv_head_parameterized,none,alternating_local_attention_and_recurrence,alternating_layer_types,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,gemma_rmsnorm_1plus,custom,plain_add,dense,gated_three_proj_separate,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rwkv7,text,recurrent_rwkv,wkv_recurrence,rwkv7_state_mixing,custom,none,0,0,mha,none,full_causal,none,none,none,none,none,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,relu2_glu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seed_oss,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smollm3,text,transformer,none,custom,custom,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,custom,standard_rmsnorm,custom,plain_add,custom,gated_three_proj_separate,custom,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stablelm,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,parallel_residual,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starcoder2,text,transformer,none,sdpa,separate_q_k_v,full_linear,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,ungated_two_proj,gelu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step3p5,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,post_attention_gate,yarn_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,custom_rmsnorm,zero_centered_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,all_layers,explicit_layer_list,standard_topk,sigmoid_topk,0,1,additive,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telechat3,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youtu_llm,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,rope,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
